MUNICIPIO,LEITOS_EXISTENTES,LATITUDE,LONGITUDE
CAICO,668,-6.4594544,-37.0971911
CAIEIRAS,580,-23.3644621,-46.7484765
CAJAMAR,204,-23.3561111,-46.8769444
CAJAPIO,76,-2.8778715,-44.6746871
CAJARI,88,-3.3213076,-45.0118757
CAJAZEIRAS,780,-6.8897849,-38.5570389
CAJOBI,128,-20.8776238,-48.8106972
CAJUEIRO,108,-9.399589,-36.1524309
CAJURU,292,-21.2759978,-47.3046035
CALCADO,44,-8.7413446,-36.3351787
CALCOENE,100,2.4981757,-50.9539503
CALDAS,156,-21.923611,-46.386111
CALDAS NOVAS,868,-17.745,-48.625
CALDEIRAO GRANDE,160,-11.0208483,-40.3041387
CALUMBI,68,-7.9396706,-38.1525186
CAMACAN,384,-15.4166631,-39.4930088
CAMACARI,2232,-12.6998188,-38.3260762
CAMAMU,68,-13.9438142,-39.1060917
CAMANDUCAIA,92,-22.755278,-46.144444
CAMAPUA,88,-19.5291747,-54.0434641
CAMAQUA,464,-30.8524752,-51.8075619
CAMARAGIBE,1296,-8.0213832,-34.9810768
CAMBARA,384,-23.042273,-50.075281
CAMBARA DO SUL,132,-29.0489517,-50.145412
CAMBE,552,-23.2782035,-51.2779583
CAMBORIU,332,-27.0273601,-48.6535657
CAMBUCI,192,-21.48359025,-41.90711304596154
CAMBUI,196,-22.6122501,-46.0572137
CAMBUQUIRA,152,-21.853056,-45.2953619
CAMETA,744,-6.1197472,-64.30045
CAMOCIM,348,-2.9009918,-40.8427389
CAMOCIM DE SAO FELIX,60,-8.3616757,-35.7638903
CAMPANHA,88,-21.8361108,-45.401986
CAMPESTRE,184,-8.8481634,-35.5660033
CAMPESTRE DO MARANHAO,84,-6.1729113,-47.3640512
CAMPINA DA LAGOA,144,-24.5937926,-52.8038965
CAMPINA DAS MISSOES,220,-27.9910517,-54.8404714
CAMPINA GRANDE,9600,-7.2246743,-35.8771292
CAMPINA GRANDE DO SUL,1932,-25.3046032,-49.0545355
CAMPINA VERDE,148,-19.535277,-49.486389
CAMPINACU,124,-13.7869969,-48.5703841
CAMPINAPOLIS,100,-14.5403731,-52.7970626
CAMPINAS,13770,-22.9056391,-47.059564
CAMPINAS DO SUL,200,-27.7167968,-52.6257885
CAMPINORTE,48,-14.3104574,-49.1552173
CAMPO ALEGRE,228,-26.1941684,-49.2657484
CAMPO ALEGRE DE GOIAS,72,-17.6337896,-47.779291
CAMPO ALEGRE DE LOURDES,312,-9.5160326,-43.0101338
CAMPO BELO,536,-20.8975,-45.277223
CAMPO BELO DO SUL,116,-27.8989298,-50.759562
CAMPO BOM,406,-29.678418,-51.0572268
CAMPO DO MEIO,46,-21.1072006,-45.8301735
CAMPO ERE,184,-26.3947432,-53.0790495
CAMPO FORMOSO,396,-10.51055,-40.320031
CAMPO GRANDE,11667,-20.4640173,-54.6162947
CAMPO LARGO,5432,-25.4597726,-49.5270851
CAMPO LIMPO PAULISTA,264,-23.207791,-46.788919
CAMPO MAIOR,824,-4.8339574,-42.1739786
CAMPO MOURAO,1142,-24.046329,-52.37802
CAMPO NOVO,144,-28.91500235,-52.331382766647266
CAMPO NOVO DE RONDONIA,76,-10.5704235,-63.6199511
CAMPO NOVO DO PARECIS,136,-13.658735,-57.890723
CAMPO VERDE,312,-15.5430787,-55.1590511
CAMPOS ALTOS,156,-19.696389,-46.171389
CAMPOS BELOS,192,-13.0349839,-46.768112
CAMPOS DE JULIO,68,-13.7223646,-59.2645296
CAMPOS DO JORDAO,780,-22.738299,-45.5903769
CAMPOS DOS GOYTACAZES,8352,-21.7546,-41.3242
CAMPOS GERAIS,204,-21.2333342,-45.7584127
CAMPOS NOVOS,352,-27.3962904,-51.2224397
CAMPOS SALES,192,-7.0750814,-40.3830178
CAMUTANGA,48,-7.4092965,-35.2738166
CANAA DOS CARAJAS,507,-6.5296837,-49.8516592
CANAPOLIS,196,-18.7228793,-49.2016329
CANARANA,308,-11.6870151,-41.7683675
CANAVIEIRA,16,-7.6924041,-43.7190063
CANAVIEIRAS,300,-15.6790128,-38.9449622
CANDEAL,28,-11.8053441,-39.1206515
CANDEIAS,652,-20.7676161,-45.2763777
CANDEIAS DO JAMARI,60,-8.7949939,-63.7018851
CANDELARIA,416,-29.668391,-52.789495
CANDIBA,148,-14.4125032,-42.8714102
CANDIDO DE ABREU,124,-24.5747463,-51.3432207
CANDIDO GODOI,156,-27.951509,-54.751722
CANDIDO MENDES,84,-1.4531117,-45.7273136
CANDIDO MOTA,120,-22.7434964,-50.38924
CANDIDO SALES,220,-15.5049916,-41.2380719
CANDOI,164,-25.5711951,-52.051107
CANELA,192,-29.3636094,-50.8096844
CANELINHA,72,-27.2660341,-48.7666708
CANGUCU,438,-31.398276,-52.6773522
CANHOTINHO,128,-8.876519,-36.197935
CANINDE,568,-4.3547946,-39.3108516
CANINDE DE SAO FRANCISCO,80,-9.6597475,-37.7904456
CANOAS,4371,-29.9216045,-51.1799525
CANOINHAS,348,-26.1755121,-50.3949592
CANSANCAO,232,-10.6671448,-39.498199
CANTAGALO,432,-25.3735238,-52.1238114
CANTANHEDE,236,-3.6355005,-44.3778738
CANTO DO BURITI,108,-8.1104735,-42.94784392019382
CANUDOS,164,-9.8948692,-39.0266244
CANUTAMA,112,-6.5330019,-64.3834966
CAPANEMA,1320,-25.6704878,-53.8083036
CAPAO BONITO,252,-24.0048759,-48.3489848
CAPAO DA CANOA,404,-29.7508278,-50.0210729
CAPELA,528,-9.415041,-36.082583
CAPELA DO ALTO ALEGRE,72,-11.6703944,-39.8362745
CAPELINHA,252,-17.693889,-42.518611
CAPETINGA,11,-20.6180809,-47.0570855
CAPIM GROSSO,228,-11.3793228,-40.0112095
CAPINOPOLIS,97,-18.682778,-49.569723
CAPINZAL,252,-27.3440651,-51.6110403
CAPINZAL DO NORTE,48,-4.7304006,-44.3249063
CAPISTRANO,56,-4.4644692,-38.8956734
CAPITAO DE CAMPOS,36,-4.4584198,-41.9415301
CAPITAO LEONIDAS MARQUES,140,-25.481645,-53.611238
CAPITAO POCO,760,-1.7447162,-47.0638495
CAPITOLIO,68,-20.6142437,-46.0487652
CAPIVARI,484,-22.9999295,-47.5031066
CAPOEIRAS,72,-8.7386788,-36.6268109
CARACARAI,60,1.827598,-61.125389
CARACOL,100,-9.2804898,-43.3284924
CARAGUATATUBA,1528,-23.62028,-45.41306
CARAI,180,-17.1884104,-41.6976554
CARANDAI,190,-20.9523934,-43.8043903
CARANGOLA,964,-20.733638,-42.0299412
CARAPEBUS,32,-22.1869969,-41.6633764
CARAPICUIBA,1328,-23.5234673,-46.8406808
CARATINGA,1198,-19.7900887,-42.140533
CARAUARI,204,-4.8766426,-66.8961433
CARAUBAS,128,-7.7273231,-36.4923357
CARAVELAS,252,-17.735278,-39.2624754
CARAZINHO,552,-28.2981634,-52.7942363
CARBONITA,84,-17.5308667,-43.0136207
CARDEAL DA SILVA,20,-11.9428154,-37.9494462
CARDOSO,124,-20.080447,-49.9139767
CAREACU,80,-22.0434124,-45.6995247
CAREIRO,80,-3.8185277,-60.3616505
CAREIRO DA VARZEA,80,-3.197024,-59.8259104
CARIACICA,1764,-20.263202,-40.416549
CARIDADE,84,-4.2316487,-39.1946515
CARINHANHA,120,-14.298524,-43.772349
CARIRA,4,-10.358303,-37.701473
CARIRE,111,-3.948584,-40.476028
CARIRIACU,200,-7.0417053,-39.2835527
CARIUS,112,-6.5348688,-39.4966658
CARLOPOLIS,200,-23.4285011,-49.7208814
CARLOS BARBOSA,288,-29.2978372,-51.5005613
CARLOS CHAGAS,192,-21.744351,-43.3908675
CARMESIA,40,-19.0854535,-43.1392003
CARMO,168,-21.9338,-42.6084
CARMO DA CACHOEIRA,148,-21.460556,-45.223334
CARMO DA MATA,40,-20.558334,-44.8703774
CARMO DE MINAS,116,-22.1216655,-45.1323836
CARMO DO PARANAIBA,182,-18.9992327,-46.306916
CARMO DO RIO CLARO,120,-20.973315,-46.1186754
CARMO DO RIO VERDE,72,-15.3549139,-49.707975
CARMOPOLIS DE MINAS,152,-20.541224,-44.6350611
CARNAIBA,60,-7.805964,-37.7947314
CARNAUBA DOS DANTAS,72,-6.5560588,-36.5930811
CARNAUBAIS,40,-5.3383681,-36.8335566
CARNAUBAL,68,-4.1611842,-40.9412317
CARNAUBEIRA DA PENHA,44,-8.3192809,-38.7435891
CAROEBE,56,0.8808696,-59.6963796
CAROLINA,184,-7.3313437,-47.4738762
CARPINA,365,-7.8459105,-35.2538861
CARRANCAS,84,-21.4910462,-44.6436151
CARUARU,5115,-8.2829702,-35.9722852
CARUTAPERA,188,-1.2016638,-46.0205618
CASA BRANCA,1604,-21.7743137,-47.0852175
CASA NOVA,164,-9.1736775,-40.9734475
CASCA,132,-28.5634054,-51.9741902
CASCAVEL,5014,-24.9554996,-53.4560544
CASIMIRO DE ABREU,224,-22.47561545,-42.152223464508396
CASINHAS,140,-7.744698,-35.7250923
CASSIA,218,-20.5837538,-46.9219923
CASSILANDIA,248,-19.1128242,-51.7345354
CASTANHAL,2348,-1.2927031,-47.9223903
CASTANHEIRAS,62,-11.4277212,-61.9486802
CASTELANDIA,72,-18.089062,-50.220798
CASTELO,220,-20.6022098,-41.2032124
CASTELO DO PIAUI,152,-5.3230426,-41.5546185
CASTILHO,124,-20.8695636,-51.4877792
CASTRO,543,-24.794072,-49.9972914
CASTRO ALVES,120,-12.7617572,-39.4284444
CATAGUASES,564,-21.387426,-42.6957219
CATALAO,1356,-18.1702546,-47.9447082
CATANDUVA,2724,-21.1331035,-48.9712817
CATANDUVAS,132,-25.2043528,-53.154826
CATARINA,80,-6.1340485,-39.8791754
CATENDE,108,-8.6900588,-35.74847081375707
CATINGUEIRA,4,-7.120081,-37.60638
CATOLE DO ROCHA,332,-6.340625,-37.746967
CATU,340,-12.351274,-38.379108
CATUNDA,80,-4.6494224,-40.2002603
CATURAI,72,-16.4473559,-49.4919149
CATURAMA,32,-13.3309299,-42.2927623
CAUCAIA,1060,-3.7300563,-38.6593082
CAVALCANTE,64,-13.7928414,-47.4568521
CAXAMBU,140,-21.9755872,-44.9311403
CAXAMBU DO SUL,112,-27.1615046,-52.8796675
CAXIAS,1700,-29.1685045,-51.1796385
CAXIAS DO SUL,6112,-29.1685045,-51.1796385
CEARA-MIRIM,216,-5.6322688,-35.4213484
CEDRAL,292,-20.9028433,-49.2699665
CEDRO,304,-6.6065382,-39.0599487
CENTENARIO DO SUL,100,-22.821497,-51.5951456
CENTRAL,168,-11.1338739,-42.1095822
CENTRAL DE MINAS,88,-18.7612885,-41.3071204
CENTRAL DO MARANHAO,60,-2.1927491,-44.828423
CENTRALINA,80,-18.5843349,-49.1954739
CENTRO NOVO DO MARANHAO,56,-2.1361032,-46.1248528
CEREJEIRAS,168,-13.186987,-60.816836
CERES,1373,-15.3103568,-49.6032054
CERQUEIRA CESAR,152,-23.0353135,-49.1650519
CERQUILHO,160,-23.1626556,-47.7433878
CERRO AZUL,68,-24.8245108,-49.2615181
CERRO CORA,96,-6.0412685,-36.3464694
CERRO LARGO,220,-28.147498,-54.7383681
CESARIO LANGE,108,-23.226035,-47.954453
CEU AZUL,144,-25.1484973,-53.8494214
CEZARINA,64,-16.9718289,-49.775814
CHA DE ALEGRIA,64,-7.9959409,-35.2134636
CHA GRANDE,160,-8.238271,-35.457148
CHAPADA,212,-28.0587829,-53.0657459
CHAPADA GAUCHA,72,-15.2946253,-45.6284904
CHAPADAO DO CEU,96,-18.3951972,-52.6670783
CHAPADAO DO SUL,204,-18.7949051,-52.6199512
CHAPADINHA,736,-3.7416803,-43.3548006
CHAPECO,1950,-27.0922364,-52.6166878
CHARQUEADA,135,-22.50958,-47.775468
CHARQUEADAS,224,-29.9549088,-51.6249534
CHAVAL,100,-3.0339874,-41.2438452
CHAVANTES,204,-23.0406405,-49.7071698
CHAVES,64,-0.164154,-49.987006
CHIAPETTA,124,-27.923162,-53.9419052
CHOPINZINHO,348,-25.8566167,-52.5294107
CHORO,64,-20.0535401,-44.9249925
CHOROZINHO,48,-4.3010895,-38.4976923
CHORROCHO,60,-8.9774059,-39.0993132
CHUPINGUAIA,44,-12.5528918,-60.9027819
CIANORTE,684,-23.662036,-52.6103989
CICERO DANTAS,180,-10.5932265,-38.3834411
CIDADE GAUCHA,92,-23.3816558,-52.9444098
CIDADE OCIDENTAL,268,-16.1000758,-47.9445014
CIDELANDIA,84,-5.174655,-47.7833531
CIPO,120,-11.0990534,-38.5153006
CIPOTANEA,56,-20.905278,-43.365556
CLAUDIA,132,-11.5057202,-54.8763166
CLAUDIO,164,-20.4448485,-44.7655217
CLEMENTINA,96,-21.5594631,-50.448624
CLEVELANDIA,224,-26.404065,-52.3513972
COARACI,200,-14.6407979,-39.5496765
COARI,432,-4.0885957,-63.1431166
COCAL,168,-3.4691882,-41.555851
COCALINHO,68,-14.390339,-51.00015
COCALZINHO DE GOIAS,92,-15.7762854,-48.7730427
COCOS,128,-14.1811222,-44.5382117
CODAJAS,192,-3.8413202,-62.0603444
CODO,516,-4.455623,-43.892354
COELHO NETO,536,-4.2535154,-43.0149321
COLARES,32,-0.936423,-48.280254
COLATINA,2292,-19.5346732,-40.6287836
COLIDER,528,-10.8094999,-55.4540386
COLINA,256,-20.711443,-48.53867
COLINAS,590,-29.3866023,-51.8697911
COLINAS DO SUL,48,-14.1555935,-48.0729958
COLINAS DO TOCANTINS,260,-8.0612688,-48.4716768
COLMEIA,84,-8.734098,-48.7510897
COLNIZA,144,-9.4560637,-59.2197132
COLOMBIA,80,-20.1774291,-48.6872822
COLOMBO,322,-25.2925439,-49.2243472
COLONIA DO PIAUI,28,-7.2320268,-42.1777122
COLONIA LEOPOLDINA,132,-8.9144649,-35.7220255
COLORADO,484,-28.525842,-52.99282
COLORADO DO OESTE,200,-13.12109915,-60.54207007205348
COLUNA,152,-18.2327272,-42.8402912
COMODORO,168,-13.6581107,-59.786883
CONCEICAO,236,-2.9308167,-58.5331639
CONCEICAO DA APARECIDA,76,-21.094166,-46.204444
CONCEICAO DA BARRA,120,-18.5841421,-39.7371844
CONCEICAO DA FEIRA,36,-12.5013001,-39.0002166
CONCEICAO DAS ALAGOAS,88,-19.9194009,-48.3803414
CONCEICAO DE MACABU,84,-22.0832,-41.8736
CONCEICAO DO ALMEIDA,128,-12.7772763,-39.1692214
CONCEICAO DO ARAGUAIA,600,-8.2696905,-49.2676864
CONCEICAO DO CANINDE,28,-7.8774025,-41.5961417
CONCEICAO DO CASTELO,96,-20.3601311,-41.2470343
CONCEICAO DO COITE,868,-11.5629384,-39.2839543
CONCEICAO DO JACUIPE,194,-12.326831,-38.768433
CONCEICAO DO LAGO-ACU,60,-3.8410056,-44.8930565
CONCEICAO DO MATO DENTRO,172,-19.037222,-43.425278
CONCEICAO DO RIO VERDE,136,-21.881078,-45.0868526
CONCHAL,208,-22.337512,-47.172927
CONCHAS,60,-23.0133538,-48.0077595
CONCORDIA,858,-27.2312011,-52.0231024
CONCORDIA DO PARA,124,-1.9924056,-47.9450474
CONDADO,140,-6.3599136,-37.5608827
CONDE,460,-11.8129758,-37.6138705
CONDEUBA,68,-14.902227,-41.971829
CONDOR,140,-28.2058277,-53.4844696
CONFRESA,312,-10.643695,-51.569873
CONGONHAS,356,-20.5015168,-43.8564586
CONGONHINHAS,64,-23.5497241,-50.5520182
CONQUISTA,60,-14.8567487,-40.8414804
CONSELHEIRO LAFAIETE,1032,-20.6596107,-43.785743
CONSELHEIRO MAIRINCK,80,-23.6229983,-50.1706779
CONSELHEIRO PENA,221,-19.1720883,-41.471995
CONSTANTINA,100,-27.7331711,-52.9929561
CONTAGEM,3027,-19.9132749,-44.0840953
CONTENDA,64,-25.678811,-49.535044
CORACAO DE JESUS,160,-16.6888187,-44.3577401
CORACAO DE MARIA,128,-12.2484345,-38.7499274
CORBELIA,136,-24.7951117,-53.2961804
CORDEIRO,200,-22.0287681,-42.3607442
CORDEIROS,20,-15.0397219,-41.9314228
COREAU,78,-3.5519794,-40.6528409
COREMAS,160,-7.0175897,-37.9465062
CORIBE,172,-13.828471,-44.45727
CORNELIO PROCOPIO,1382,-23.1825218,-50.6499263
COROATA,516,-4.1282283,-44.1360269
COROMANDEL,120,-18.473889,-47.200278
CORONEL BICACO,124,-27.7174002,-53.705821
CORONEL EZEQUIEL,12,-6.3853153,-36.2151622
CORONEL FABRICIANO,668,-19.5200067,-42.6282686
CORONEL FREITAS,108,-26.9058932,-52.7028055
CORONEL JOAO PESSOA,36,-6.2607263,-38.4425693
CORONEL MACEDO,8,-23.6304001,-49.313234
CORONEL SAPUCAIA,36,-23.27186,-55.5288174
CORONEL VIVIDA,204,-25.9803771,-52.5654277
CORREGO DO OURO,52,-16.2960629,-50.5512216
CORREIA PINTO,76,-27.587688,-50.361448
CORRENTE,208,-10.4401356,-45.1627472
CORRENTES,116,-9.1295585,-36.3287438
CORRENTINA,164,-13.344157,-44.6345066
CORTES,176,-8.4724921,-35.5431197
CORUMBA,748,-19.0016365,-57.6534316
CORUMBA DE GOIAS,100,-15.9268355,-48.8074659
CORUMBAIBA,108,-18.1348982,-48.564223
CORUMBATAI,8,-22.2210521,-47.6249638
CORUMBIARA,40,-13.0002162,-60.94320578255167
CORURIPE,1556,-10.1249963,-36.1760623
COSMOPOLIS,324,-22.6437398,-47.1972086
COSTA MARQUES,180,-12.4367165,-64.2279765
COSTA RICA,280,9.9353192,-84.2230945
COTEGIPE,56,-12.0315387,-44.260401
COTIA,2684,-23.603889,-46.918889
COTRIGUACU,136,-9.9034364,-58.5658915
COXIM,412,-18.504915,-54.7450251
CRAIBAS,32,-9.6168038,-36.7684669
CRATEUS,864,-5.1782451,-40.6696545
CRATO,1666,-7.2369112,-39.4149236
CRAVINHOS,60,-21.340278,-47.729444
CRAVOLANDIA,96,-13.3576247,-39.8153954
CRICIUMA,2431,-28.6789941,-49.3695627
CRISOPOLIS,92,-11.5105813,-38.1506278
CRISSIUMAL,210,-27.4982242,-54.1024643
CRISTAIS,76,-20.875834,-45.518611
CRISTALANDIA,112,-10.59848,-49.194202
CRISTALANDIA DO PIAUI,100,-10.6525894,-45.1847405
CRISTALINA,232,-16.7680599,-47.6133427
CRISTIANOPOLIS,32,-17.2010889,-48.7060055
CRISTINA,100,-22.212222,-45.264167
CRISTINO CASTRO,84,-8.8163934,-44.2211062
CRISTOPOLIS,280,-12.2349301,-44.4160811
CRIXAS,344,-14.5424536,-49.9694813
CROATA,181,-6.0545671,-38.873763
CROMINIA,44,-17.2891983,-49.3749654
CRUZ,224,-2.918128,-40.175981
CRUZ ALTA,1192,-28.645056,-53.6058047
CRUZ DAS ALMAS,392,-12.6722649,-39.1053665
CRUZ MACHADO,148,-26.0184626,-51.3503171
CRUZEIRO,540,-22.5783685,-44.9642044
CRUZEIRO DO OESTE,128,-23.7839582,-53.0709425
CRUZEIRO DO SUL,944,-29.5139742,-51.9917068
CRUZETA,48,-6.4113343,-36.7872964
CRUZILIA,264,-21.838333,-44.808056
CUBATAO,604,-23.8857982,-46.4241869
CUBATI,64,-6.8647974,-36.3525993
CUIABA,9807,-15.5986686,-56.0991301
CUITE,268,-6.4855072,-36.1478606
CUJUBIM,116,-9.3687919,-62.5832107
CUMARI,56,-18.2644369,-48.1511341
CUMARU,84,-8.0065285,-35.6991651
CUMARU DO NORTE,44,-7.8122669,-50.7677675
CUNHA,160,-23.11687035,-44.97719352426641
CUNHA PORA,196,-26.8927163,-53.1716516
CUPIRA,80,-8.6053148,-35.9530366
CURACA,104,-8.9925655,-39.9053169
CURIMATA,136,-10.0349005,-44.3033114
CURIONOPOLIS,156,-6.0990443,-49.6059039
CURITIBA,23989,-25.4295963,-49.2712724
CURITIBANOS,660,-27.2900659,-50.5779683
CURIUVA,76,-24.0383013,-50.455484
CURRAIS NOVOS,384,-6.2626676,-36.5173039
CURRALINHO,108,-1.8137876,-49.7980165
CURUCA,160,-2.5228933,-61.0605627
CURURUPU,436,-1.824255,-44.872996
CURVELO,916,-18.7571926,-44.4305993
CUSTODIA,316,-8.0860251,-37.6400307
DAMIANOPOLIS,52,-14.5603809,-46.1780241
DAMOLANDIA,60,-16.2548322,-49.3675277
DATAS,84,-18.4459187,-43.6584287
DAVID CANABARRO,124,-28.3878667,-51.8472645
DAVINOPOLIS,4,-18.1536888,-47.5624052
DELFINOPOLIS,80,-20.344749,-46.8546425
DELMIRO GOUVEIA,468,-9.3841161,-37.997756
DEMERVAL LOBAO,160,-5.3640643,-42.673993
DEODAPOLIS,48,-22.276272,-54.168163
DEPUTADO IRAPUAN PINHEIRO,48,-5.9173532,-39.2672104
DESCALVADO,160,-21.87971115,-47.65074268154024
DESCANSO,196,-26.8246854,-53.5017586
DIADEMA,2575,-23.6866428,-46.6246935
DIAMANTE DO NORTE,76,-22.6565442,-52.8589113
DIAMANTINA,968,-18.2440862,-43.6006487
DIAMANTINO,120,-14.4036262,-56.4364488
DIANOPOLIS,177,-11.624008,-46.819787
DIAS D'AVILA,376,-12.6107233,-38.3028518
DIONISIO,36,-19.841944,-42.776945
DIONISIO CERQUEIRA,176,-26.2604681,-53.6346379
DIORAMA,56,-16.2359735,-51.2578729
DIRCEU ARCOVERDE,28,-9.3413101,-42.4362055
DIVINO,148,-20.6151497,-42.1474733
DIVINO DAS LARANJEIRAS,84,-18.7782581,-41.4797376
DIVINOLANDIA,744,-21.6604584,-46.7371151
DIVINOPOLIS,2986,-20.1597921,-44.8739341
DIVINOPOLIS DE GOIAS,96,-13.2905914,-46.3950744
DIVINOPOLIS DO TOCANTINS,124,-9.8015722,-49.2143531
DIVISA NOVA,28,-21.5126801,-46.1926626
DIVISOPOLIS,4,-15.7216545,-41.0032019
DOIS CORREGOS,268,-22.3697554,-48.3845315
DOIS IRMAOS,264,-29.58356,-51.089776
DOIS IRMAOS DO BURITI,56,-20.6906107,-55.2760274
DOIS LAJEADOS,200,-28.984916,-51.8366385
DOIS VIZINHOS,208,-25.7464681,-53.0554369
DOM AQUINO,80,-15.809899,-54.922298
DOM BASILIO,96,-13.7589818,-41.7715676
DOM ELISEU,496,-4.2928111,-47.5559083
DOM FELICIANO,100,-30.70214,-52.1080845
DOM JOAQUIM,80,-18.967137,-43.2552141
DOM PEDRITO,496,-30.983755,-54.6746483
DOM PEDRO,116,-5.0398278,-44.4385724
DOM SILVERIO,92,-20.1631352,-42.9666824
DOMINGOS MARTINS,408,-20.3646483,-40.6585797
DORES DO INDAIA,160,-19.4636451,-45.60166
DORMENTES,112,-8.441163,-40.766168
DOURADO,66,-22.116287,-48.3174349
DOURADOS,2778,-22.2206145,-54.812208
DOUTOR SEVERIANO,48,-6.0948339,-38.3748
DOUTOR ULYSSES,16,-24.5661713,-49.4203013
DOVERLANDIA,96,-16.7210996,-52.3138104
DRACENA,652,-21.4835523,-51.5334408
DUARTINA,348,-22.414562,-49.408355
DUAS BARRAS,120,-22.0522519,-42.5194705
DUERE,56,-11.341631,-49.271566
DUQUE BACELAR,104,-4.1024525999999994,-42.9632521646474
DUQUE DE CAXIAS,6272,-22.7896225,-43.309929
ECOPORANGA,224,-18.3720918,-40.8321351
EDEALINA,40,-17.4239419,-49.6644011
EDEIA,100,-17.3407253,-49.9292351
EIRUNEPE,304,-6.6567654,-69.866161
ELDORADO,144,-24.522583,-48.1093489
ELDORADO DOS CARAJAS,164,-6.1029246,-49.3572487
ELESBAO VELOSO,131,-6.2032654,-42.1376937
ELIAS FAUSTO,24,-23.0416538,-47.3718002
ELISEU MARTINS,32,-8.0984137,-43.6637067
ELISIO MEDRADO,48,-12.9469824,-39.520431
ELOI MENDES,160,-21.6094466,-45.5660211
EMBU DAS ARTES,996,-23.6495294,-46.8528497
EMBU-GUACU,60,-23.8317997,-46.8156204
ENCANTADO,268,-29.2392716,-51.8744817
ENCANTO,32,-6.1107477,-38.3050953
ENCRUZILHADA,200,-15.5317004,-40.909007
ENCRUZILHADA DO SUL,236,-30.536175200000002,-52.51560417047334
ENGENHEIRO BELTRAO,136,-23.7996003,-52.2592684
ENGENHEIRO PAULO DE FRONTIN,116,-22.5504556,-43.6783403
ENTRE RIOS,120,-11.9423743,-38.0836985
ENTRE RIOS DE MINAS,244,-20.670834,-44.065556
ENTRE RIOS DO OESTE,48,-24.7002098,-54.2448233
ENVIRA,96,-7.437889,-70.028143
EQUADOR,80,-6.89071355,-36.66447219982531
ERECHIM,1359,-27.6350709,-52.2738654
ERERE,36,-6.0311304,-38.3482173
ERICO CARDOSO,40,-13.419162,-42.1381486
ERVALIA,64,-20.8400156,-42.653352
ESCADA,364,-8.3623847,-35.2366232
ESMERALDAS,220,-19.7613111,-44.3145945
ESPERA FELIZ,180,-20.6494192,-41.9080693
ESPERANCA,112,-7.018517,-35.852193
ESPERANTINA,304,-5.3658232,-48.5368181
ESPERANTINOPOLIS,176,-4.8751875,-44.8801032
ESPIGAO D'OESTE,220,-11.532175,-61.0130935
ESPINOSA,160,-14.9232007,-42.8093337
ESPIRITO SANTO DO PINHAL,1700,-22.1929522,-46.7470021
ESPLANADA,296,-11.800614,-37.9453
ESPUMOSO,204,-28.7256962,-52.8453751
ESTACAO,168,-27.9128965,-52.2606058
ESTANCIA,796,-11.2682255,-37.4378341
ESTANCIA VELHA,204,-29.6529666,-51.1719687
ESTEIO,686,-29.8511627,-51.1778852
ESTIVA,100,-22.4638686,-46.0182101
ESTREITO,242,-6.5583016,-47.4432212
ESTRELA,520,-29.5010545,-51.962226
ESTRELA D'OESTE,204,-20.2860692,-50.3986216
ESTRELA DO INDAIA,84,-19.5225,-45.7875
ESTRELA DO NORTE,72,-22.4886301,-51.6606857
ESTRELA DO SUL,16,-18.7420499,-47.6900736
EUCLIDES DA CUNHA,288,-10.5060835,-39.0129875
EUGENOPOLIS,108,-21.0968165,-42.1850985
EUNAPOLIS,1028,-16.3766148,-39.586449
EUSEBIO,262,-3.8889838,-38.4546585
EXTREMA,324,-22.8549109,-46.3190079
EXTREMOZ,80,-5.7057628,-35.3034765
EXU,128,-7.515434,-39.722015
FAINA,80,-15.4458005,-50.3633826
FARIAS BRITO,184,-6.9272823,-39.5714222
FARO,40,-2.1737325,-56.7461191
FARROUPILHA,616,-29.22647,-51.3468188
FARTURA,80,-23.390039,-49.5109023
FATIMA DO SUL,240,-22.3750499,-54.516698
FAXINAL,88,-24.001212,-51.3222727
FAXINAL DO SOTURNO,312,-29.5771687,-53.445804
FAXINAL DOS GUEDES,148,-26.8494222,-52.2586485
FAZENDA NOVA,64,-16.185602,-50.7795674
FAZENDA RIO GRANDE,127,-25.645841,-49.3126653
FEIJO,168,-8.1648652,-70.3539579
FEIRA DA MATA,44,-14.211978,-44.2824406
FEIRA DE SANTANA,7762,-12.2578934,-38.9598047
FEIRA NOVA,68,-7.9481471,-35.3871681
FEIRA NOVA DO MARANHAO,80,-6.965082,-46.678577
FELIPE GUERRA,60,-5.5981386,-37.6962757
FELISBURGO,184,-16.6400483,-40.7614691
FELIZ,244,-29.4523254,-51.3069785
FERNANDO DE NORONHA,68,-3.8537498,-32.41980180663255
FERNANDO FALCAO,72,-6.1512461,-44.9022436
FERNANDOPOLIS,560,-20.2825647,-50.2500762
FERRAZ DE VASCONCELOS,1064,-23.541056,-46.37097
FERREIRA GOMES,52,0.8580838,-51.1814
FERROS,100,-19.234984,-43.019542
FERVEDOURO,76,-20.7292242,-42.2785942
FIGUEIRA,124,-23.8481018,-50.4059875
FIGUEIRAO,36,-18.67821,-53.6379864
FIGUEIROPOLIS,20,-12.1347916,-49.1737141
FILADELFIA,144,-10.7418885,-40.1304175
FIRMINOPOLIS,172,-16.5753264,-50.3011286
FLEXEIRAS,60,-9.2788679,-35.7235246
FLORANIA,40,-6.1268685,-36.8183238
FLORES,112,-7.862025,-37.9742806
